备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
神秘商店,2025.10 nusantara节点（排灯节）,1,折扣直售,角色完整皮肤,紫品（A+）,付费,2025/10/17,2025/11/02,,,永久,1000,img_v3_02r8_1e482ee0-dfb3-41c6-9c61-b6fe9445268g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
神秘商店,2025.10 nusantara节点（排灯节）,1,折扣直售,角色完整皮肤,紫品（A+）,付费,2025/10/17,2025/11/02,,,永久,1000,img_v3_02r8_1e482ee0-dfb3-41c6-9c61-b6fe9445268g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,2,游玩40、80、120分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/10/18,2025/10/19,,,限时,40,image.png,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（蓝色）常驻抽奖池2--抽奖券,
2025世界赛前置竞猜活动,2025.10 nusantara节点（排灯节）,5,登录、对战、杀敌等综合行为,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/10/18,2025/10/31,,,限时,40,image.png,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（橙色）常驻3合1抽奖池--抽奖券,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,1,游玩40、80、120分钟,载具,紫品（A+）,活跃,2025/10/18,2025/10/19,,,永久,400,image.png,2025年年4季度,2025年,2025年10月,局内--中低价值外显资源,10,紫品（A+）载具,
2025世界赛前置竞猜活动,2025.10 nusantara节点（排灯节）,1,登录、对战、杀敌等综合行为,角色完整皮肤,紫品（A+）,活跃,2025/10/18,2025/10/31,,,永久,1000,image.png,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
累充,2025.10 nusantara节点（排灯节）,1,充70钻,近战武器皮肤,紫品（A+）,付费,2025/10/18,2025/10/25,,,永久,400,image.png,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）近战武器皮肤,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,2,游玩40、80、120分钟,皮肤抽奖宝箱,其他,活跃,2025/10/18,2025/10/19,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他皮肤抽奖宝箱,
累充,2025.10 nusantara节点（排灯节）,2,充140钻,武器抽奖宝箱,其他,付费,2025/10/18,2025/10/25,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他武器抽奖宝箱,
2025世界赛前置竞猜活动,2025.10 nusantara节点（排灯节）,5,登录、对战、杀敌等综合行为,语音包,紫品（A+）,活跃,2025/10/18,2025/10/31,,,永久,0,image.png,2025年年4季度,2025年,2025年10月,局外社交外显资源,10,紫品（A+）语音包,
累充,2025.10 nusantara节点（排灯节）,12,充12钻,钻石,其他,付费,2025/10/18,2025/10/25,,,永久,1,image.png,2025年年4季度,2025年,2025年10月,,10,其他钻石,
火焰刀,2025.10 nusantara节点（排灯节）,1,奇迹宝藏抽一少一保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/10/22,2025/10/28,,,永久,500,img_v3_02rf_de59cf54-6c3d-4ff4-b36e-ac9b18f5909g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）近战武器皮肤,
火焰刀,2025.10 nusantara节点（排灯节）,1,奇迹宝藏抽一少一保底抽奖,背包,红品（S+）,付费,2025/10/22,2025/10/28,,,永久,500,img_v3_02rf_de59cf54-6c3d-4ff4-b36e-ac9b18f5909g.jpg,2025年年4季度,2025年,2025年10月,局内--中低价值外显资源,10,红品（S+）背包,
减世巨像,2025.10 nusantara节点（排灯节）,1,代币转盘保底抽奖,枪械皮肤,红品（S+）,付费,2025/10/24,2025/11/25,,,永久,2400,img_v3_02rf_f42cb15b-916a-4297-9069-4ccb634dff1g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,红品（S+）枪械皮肤,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,3,游玩60、120、180分钟,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/10/25,2025/10/29,,,限时,40,img_v3_02rf_1d55279a-01ee-497b-89ce-d6db7483cb3g.jpg,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（橙色）常驻3合1抽奖池--抽奖券,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,5,游玩60、120、180分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/10/25,2025/10/29,,,限时,40,img_v3_02rf_1d55279a-01ee-497b-89ce-d6db7483cb3g.jpg,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（蓝色）常驻抽奖池2--抽奖券,
累充,2025.10 nusantara节点（排灯节）,10,充50,当期限时抽奖活动--抽奖券,其他,付费,2025/10/25,2025/11/01,,,限时,8,img_v3_02rf_8771f405-d26e-4029-b931-40393133470g.jpg,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他当期限时抽奖活动--抽奖券,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,1,游玩60、120、180分钟,死亡盒子,紫品（A+）,活跃,2025/10/25,2025/10/29,,,永久,100,img_v3_02rf_1d55279a-01ee-497b-89ce-d6db7483cb3g.jpg,2025年年4季度,2025年,2025年10月,局内--中低价值外显资源,10,紫品（A+）死亡盒子,
nusantara节点活跃--游玩时长,2025.10 nusantara节点（排灯节）,3,游玩60、120、180分钟,皮肤抽奖宝箱,其他,活跃,2025/10/25,2025/10/29,,,永久,40,img_v3_02rf_1d55279a-01ee-497b-89ce-d6db7483cb3g.jpg,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他皮肤抽奖宝箱,
累充,2025.10 nusantara节点（排灯节）,125,充100,钻石,其他,付费,2025/10/25,2025/11/01,,,永久,1,img_v3_02rf_8771f405-d26e-4029-b931-40393133470g.jpg,2025年年4季度,2025年,2025年10月,,10,其他钻石,
nusantara节点活跃--杀敌数量,2025.10 nusantara节点（排灯节）,3,击杀5、12、20个敌人,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/10/27,2025/10/29,,,限时,40,image.png,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（蓝色）常驻抽奖池2--抽奖券,
nusantara节点活跃--杀敌数量,2025.10 nusantara节点（排灯节）,1,击杀5、12、20个敌人,死亡盒子,橙品（S/SP）,活跃,2025/10/27,2025/10/29,,,永久,150,image.png,2025年年4季度,2025年,2025年10月,局内--中低价值外显资源,10,橙品（S/SP）死亡盒子,
融冰战神皮肤,2025.10 nusantara节点（排灯节）,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/10/27,2025/11/09,,,永久,2000,img_v3_02rn_b47af693-0ccf-4c4a-8614-dd5179d4930g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）角色完整皮肤,
融冰战神皮肤,2025.10 nusantara节点（排灯节）,1,代币转盘保底抽奖,墙皮,橙品（S/SP）,付费,2025/10/27,2025/11/09,,,永久,500,img_v3_02rn_b47af693-0ccf-4c4a-8614-dd5179d4930g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）墙皮,
nusantara节点活跃--杀敌数量,2025.10 nusantara节点（排灯节）,2,击杀5、12、20个敌人,武器抽奖宝箱,其他,活跃,2025/10/27,2025/10/29,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他武器抽奖宝箱,
nusantara节点活跃--杀敌数量,2025.10 nusantara节点（排灯节）,2,击杀5、12、20个敌人,皮肤抽奖宝箱,其他,活跃,2025/10/27,2025/10/29,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他皮肤抽奖宝箱,
2025世界赛--使用新角色,2025.11 世界赛,1,登录,英雄,其他,活跃,2025/10/29,2025/11/10,2025/10/29,2025/11/05,限时,,img_v3_02rn_c0250628-7eb6-494c-b38e-2124a6bbd30g.jpg,2025年年4季度,2025年,2025年10月,,10,其他英雄,
2025世界赛--登录领取,2025.11 世界赛,1,登录,角色皮肤散件,蓝品（A）,活跃,2025/10/29,2025/11/14,2025/10/29,2025/11/29,限时,,image.png,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,蓝品（A）角色皮肤散件,
2025世界赛--登录领取,2025.11 世界赛,1,登录,头像,紫品（A+）,活跃,2025/10/29,2025/11/14,2025/10/29,2025/11/29,限时,,image.png,2025年年4季度,2025年,2025年10月,局外社交外显资源,10,紫品（A+）头像,
2025世界赛--使用新角色,2025.11 世界赛,2,使用新角色,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/10/29,2025/11/10,,,限时,40,img_v3_02rn_c0250628-7eb6-494c-b38e-2124a6bbd30g.jpg,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（蓝色）常驻抽奖池2--抽奖券,
2025世界赛--使用指定枪械,2025.11 世界赛,3,使用指定枪械击杀,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/10/29,2025/11/10,,,限时,40,image.png,2025年年4季度,2025年,2025年10月,抽奖券类资源,10,其他（蓝色）常驻抽奖池2--抽奖券,
2025世界赛--游玩场次,2025.11 世界赛,1,游玩场次,英雄,其他,活跃,2025/10/29,2025/11/10,,,永久,0,image.png,2025年年4季度,2025年,2025年10月,,10,其他英雄,
2025世界赛--主活跃,2025.11 世界赛,1,登录、对战、杀敌等综合行为,角色完整皮肤,紫品（A+）,活跃,2025/10/29,2025/11/16,,,永久,1000,image.png,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
掏心掏肺动作,2025.11 世界赛,1,代币转盘保底抽奖,动作,橙品（S/SP）,付费,2025/10/29,2025/11/04,,,永久,500,img_v3_02rn_a590f541-f507-4d5f-a7d2-c6911067ae0g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）动作,
掏心掏肺动作,2025.11 世界赛,1,代币转盘保底抽奖,动作,橙品（S/SP）,付费,2025/10/29,2025/11/04,,,永久,500,img_v3_02rn_a590f541-f507-4d5f-a7d2-c6911067ae0g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）动作,
掏心掏肺动作,2025.11 世界赛,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/10/29,2025/11/04,,,永久,500,img_v3_02rn_a590f541-f507-4d5f-a7d2-c6911067ae0g.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,橙品（S/SP）近战武器皮肤,
2025世界赛--游玩场次,2025.11 世界赛,2,游玩场次,金币抽奖盒,其他,活跃,2025/10/29,2025/11/10,,,永久,0,image.png,2025年年4季度,2025年,2025年10月,,10,其他金币抽奖盒,
2025世界赛--游玩场次,2025.11 世界赛,3,游玩场次,武器抽奖宝箱,其他,活跃,2025/10/29,2025/11/10,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他武器抽奖宝箱,
2025世界赛--游玩场次,2025.11 世界赛,3,游玩场次,皮肤抽奖宝箱,其他,活跃,2025/10/29,2025/11/10,,,永久,40,image.png,2025年年4季度,2025年,2025年10月,盲盒类资源,10,其他皮肤抽奖宝箱,
2025世界赛--主活跃,2025.11 世界赛,4,登录、对战、杀敌等综合行为,战斗卡,其他,活跃,2025/10/29,2025/11/16,,,永久,,image.png,2025年年4季度,2025年,2025年10月,,10,其他战斗卡,
歌德刺客皮肤,2025.11 世界赛,1,代币转盘保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/10/31,2025/11/13,,,永久,1000,img_v3_02rn_647d6ea8-6312-4bae-938f-640875217aag.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
歌德刺客皮肤,2025.11 世界赛,1,代币转盘保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/10/31,2025/11/13,,,永久,1000,img_v3_02rn_647d6ea8-6312-4bae-938f-640875217aag.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）角色完整皮肤,
歌德刺客皮肤,2025.11 世界赛,1,代币转盘保底抽奖,枪械皮肤,紫品（A+）,付费,2025/10/31,2025/11/13,,,永久,1000,img_v3_02rn_647d6ea8-6312-4bae-938f-640875217aag.jpg,2025年年4季度,2025年,2025年10月,局内--高价值外显资源,10,紫品（A+）枪械皮肤,
世界赛皮肤,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/11/02,2025/11/16,,,永久,1000,img_v3_02rn_85452f8c-362c-46b9-a40f-d8a39395227g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色完整皮肤,
世界赛皮肤,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,角色皮肤散件,橙品（S/SP）,付费,2025/11/02,2025/11/16,,,永久,800,img_v3_02rn_85452f8c-362c-46b9-a40f-d8a39395227g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色皮肤散件,
世界赛皮肤,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,墙皮,橙品（S/SP）,付费,2025/11/02,2025/11/16,,,永久,500,img_v3_02rn_85452f8c-362c-46b9-a40f-d8a39395227g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）墙皮,
世界赛皮肤,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/11/02,2025/11/16,,,永久,500,img_v3_02rn_85452f8c-362c-46b9-a40f-d8a39395227g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）近战武器皮肤,
世界赛墙皮,2025.11 世界赛,1,游玩、登录、吃鸡,墙皮,蓝品（A）,活跃,2025/11/03,2025/11/16,,,永久,300,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）墙皮,
世界赛墙皮,2025.11 世界赛,2,游玩、登录、吃鸡,金币抽奖盒,其他,活跃,2025/11/03,2025/11/16,,,永久,0,image.png,2025年年4季度,2025年,2025年11月,,11,其他金币抽奖盒,
世界赛墙皮,2025.11 世界赛,3,游玩、登录、吃鸡,武器抽奖宝箱,其他,活跃,2025/11/03,2025/11/16,,,永久,40,image.png,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他武器抽奖宝箱,
世界赛墙皮,2025.11 世界赛,3,游玩、登录、吃鸡,皮肤抽奖宝箱,其他,活跃,2025/11/03,2025/11/16,,,永久,40,image.png,2025年年4季度,2025年,2025年11月,盲盒类资源,11,其他皮肤抽奖宝箱,
不朽熔岩組合包,2025.11 世界赛,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/05,2025/11/18,,,永久,2000,"img_v3_02rt_9f82ef37-21d9-482d-ab84-a5351088b62g.jpg,img_v3_02rt_0f4a73b2-7f74-450a-a6ba-8f94fd2a284g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
不朽熔岩組合包,2025.11 世界赛,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/05,2025/11/18,,,永久,2000,"img_v3_02rt_9f82ef37-21d9-482d-ab84-a5351088b62g.jpg,img_v3_02rt_0f4a73b2-7f74-450a-a6ba-8f94fd2a284g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
不朽熔岩組合包,2025.11 世界赛,1,代币转盘保底抽奖,枪械皮肤,橙品（S/SP）,付费,2025/11/05,2025/11/18,,,永久,2000,"img_v3_02rt_9f82ef37-21d9-482d-ab84-a5351088b62g.jpg,img_v3_02rt_0f4a73b2-7f74-450a-a6ba-8f94fd2a284g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）枪械皮肤,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,动作,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,500,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）动作,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,枪械皮肤,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,2000,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）枪械皮肤,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,500,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）近战武器皮肤,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,背包,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,300,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）背包,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,飞行器,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,500,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）飞行器,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,墙皮,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,500,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）墙皮,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,投掷品武器,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,150,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）投掷品武器,
炽焰系列皮肤,2025.11 世界赛,1,代币转盘保底抽奖,死亡盒子,橙品（S/SP）,付费,2025/11/07,2025/12/04,,,永久,150,"img_v3_02rt_139ab8d5-5961-462b-a979-e46260a94a1g.jpg,img_v3_02rt_b6bf7ab3-e7bb-4650-a0f6-6e6b29ab735g.jpg",2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）死亡盒子,
累充,2025.11 世界赛,10,充140钻,当期限时抽奖活动--抽奖券,其他,付费,2025/11/08,2025/11/15,,,限时,8,img_v3_02rt_a330be47-364d-4a43-b9e9-64cb67375ecg.jpg,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他当期限时抽奖活动--抽奖券,
累充,2025.11 世界赛,1,充70钻,载具,紫品（A+）,付费,2025/11/08,2025/11/15,,,永久,400,img_v3_02rt_a330be47-364d-4a43-b9e9-64cb67375ecg.jpg,2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,紫品（A+）载具,
累充,2025.11 世界赛,12,充12钻,钻石,其他,付费,2025/11/08,2025/11/15,,,永久,1,img_v3_02rt_a330be47-364d-4a43-b9e9-64cb67375ecg.jpg,2025年年4季度,2025年,2025年11月,,11,其他钻石,
世界赛上衣,2025.11 世界赛,2,登录1-3天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/11/10,2025/11/23,,,限时,40,image.png,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
枪皮体验卡,2025.11 世界赛,5,游玩2、5、10、15、25场次,枪械皮肤,蓝品（A）,活跃,2025/11/10,2025/11/23,2025/11/10,2026/01/20,限时,,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）枪械皮肤,
世界赛上衣,2025.11 世界赛,1,登录1-3天,角色皮肤散件,紫品（A+）,活跃,2025/11/10,2025/11/23,,,永久,400,image.png,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色皮肤散件,
烈焰金刚神组合包,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/11/10,2025/11/23,,,永久,2000,"img_v3_02rt_07aba1c0-c2ef-4add-9960-310dff3ed44g.jpg,img_v3_02rt_6c5773f5-9476-4cd8-9c2b-aa112fecb8eg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
斗罗大陆联动墙皮&拳套,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/11/12,2025/11/18,,,永久,500,img_v3_02s4_1b354964-4438-4b6e-8cb6-8bb6ac9e323g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）近战武器皮肤,
斗罗大陆联动墙皮&拳套,2025.11 世界赛,1,必中轮盘抽一少一保底抽奖,墙皮,橙品（S/SP）,付费,2025/11/12,2025/11/18,,,永久,500,img_v3_02s4_1b354964-4438-4b6e-8cb6-8bb6ac9e323g.jpg,2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）墙皮,
斗罗大陆联动角色皮肤,2025.11 世界赛,1,折扣直售,角色完整皮肤,橙品（S/SP）,付费,2025/11/14,2025/11/30,,,永久,2000,"img_v3_02s4_48c69931-b4a1-4c81-9c5e-8184a2f9b7cg.jpg,img_v3_02s4_084063ab-cd56-4989-a04f-6a54d598f7fg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）角色完整皮肤,
斗罗大陆联动角色皮肤,2025.11 世界赛,1,折扣直售,角色完整皮肤,紫品（A+）,付费,2025/11/14,2025/11/30,,,永久,1000,"img_v3_02s4_48c69931-b4a1-4c81-9c5e-8184a2f9b7cg.jpg,img_v3_02s4_084063ab-cd56-4989-a04f-6a54d598f7fg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色完整皮肤,
斗罗大陆联动角色皮肤,2025.11 世界赛,1,折扣直售,角色完整皮肤,紫品（A+）,付费,2025/11/14,2025/11/30,,,永久,1000,"img_v3_02s4_48c69931-b4a1-4c81-9c5e-8184a2f9b7cg.jpg,img_v3_02s4_084063ab-cd56-4989-a04f-6a54d598f7fg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,紫品（A+）角色完整皮肤,
斗罗大陆联动角色皮肤,2025.11 世界赛,1,折扣直售,动作,橙品（S/SP）,付费,2025/11/14,2025/11/30,,,永久,500,"img_v3_02s4_48c69931-b4a1-4c81-9c5e-8184a2f9b7cg.jpg,img_v3_02s4_084063ab-cd56-4989-a04f-6a54d598f7fg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,橙品（S/SP）动作,
斗罗大陆联动角色皮肤,2025.11 世界赛,1,折扣直售,动作,蓝品（A）,付费,2025/11/14,2025/11/30,,,永久,300,"img_v3_02s4_48c69931-b4a1-4c81-9c5e-8184a2f9b7cg.jpg,img_v3_02s4_084063ab-cd56-4989-a04f-6a54d598f7fg.jpg",2025年年4季度,2025年,2025年11月,局内--高价值外显资源,11,蓝品（A）动作,
累充,2025.11 世界赛,1,充140钻,载具,紫品（A+）,付费,2025/11/15,2025/11/22,,,永久,400,,2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,紫品（A+）载具,
数码宝贝活跃活动,2025.11 数码宝贝,5,登录1-7天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/11/17,2025/11/30,,,限时,40,image.png,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（蓝色）常驻抽奖池2--抽奖券,
数码宝贝活跃活动,2025.11 数码宝贝,5,登录1-7天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/11/17,2025/11/30,,,限时,40,image.png,2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
组队充值活动,2025.11 数码宝贝,15,组队5人,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/11/17,2025/11/30,,,限时,40,"img_v3_02sb_7132add8-b014-4a03-a69f-8c6ba3f7243g.jpg,img_v3_02sb_0f84c5e0-169a-4818-b6fb-24c0d91e15ag.jpg",2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
数码宝贝活跃活动,2025.11 数码宝贝,1,登录1-7天,头像,紫品（A+）,活跃,2025/11/17,2025/11/30,,,永久,0,image.png,2025年年4季度,2025年,2025年11月,局外社交外显资源,11,紫品（A+）头像,
数码宝贝活跃活动,2025.11 数码宝贝,1,登录1-7天,背景卡（名片）,紫品（A+）,活跃,2025/11/17,2025/11/30,,,永久,0,image.png,2025年年4季度,2025年,2025年11月,局外社交外显资源,11,紫品（A+）背景卡（名片）,
组队充值活动,2025.11 数码宝贝,1,组队4人,战斗卡,橙品（S/SP）,付费,2025/11/17,2025/11/30,,,永久,,"img_v3_02sb_7132add8-b014-4a03-a69f-8c6ba3f7243g.jpg,img_v3_02sb_0f84c5e0-169a-4818-b6fb-24c0d91e15ag.jpg",2025年年4季度,2025年,2025年11月,,11,橙品（S/SP）战斗卡,
组队充值活动,2025.11 数码宝贝,1,组队2人,宠物皮肤,橙品（S/SP）,付费,2025/11/17,2025/11/30,,,永久,200,"img_v3_02sb_7132add8-b014-4a03-a69f-8c6ba3f7243g.jpg,img_v3_02sb_0f84c5e0-169a-4818-b6fb-24c0d91e15ag.jpg",2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,橙品（S/SP）宠物皮肤,
世界赛冠军庆祝活动,2025.11 数码宝贝,2,小额通行证,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/11/18,2025/11/25,,,限时,40,"img_v3_02sb_692f8029-75e4-4e38-9d1c-fbbe6cc96a7g.jpg,img_v3_02sb_50a27f57-b404-4bca-a004-6fbb174f789g.jpg,image.png",2025年年4季度,2025年,2025年11月,抽奖券类资源,11,其他（橙色）常驻3合1抽奖池--抽奖券,
世界赛冠军庆祝活动,2025.11 数码宝贝,1,小额通行证,宠物皮肤,蓝品（A）,付费,2025/11/18,2025/11/25,,,永久,,"img_v3_02sb_692f8029-75e4-4e38-9d1c-fbbe6cc96a7g.jpg,img_v3_02sb_50a27f57-b404-4bca-a004-6fbb174f789g.jpg,image.png",2025年年4季度,2025年,2025年11月,局内--中低价值外显资源,11,,
